                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.1607,                 1.3831,                 1.0476,                 1.0572,                0.57349,                0.54258,                0.56188,                0.39703,                0.52377,                0.47862,                0.48897,                0.20803,                 1.1839,                 1.4269,                  1.119,                 1.0873,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.1278,                 1.3542,                 1.0316,                 1.0461,                0.59629,                 0.5594,                0.59374,                0.43313,                0.52487,                 0.4924,                0.50567,                 0.2176,                 1.0989,                 1.3393,                 1.0442,                   1.06,                0.00167,                0.00167,                0.00167
                     53,                 1.0913,                 1.3518,                 1.0185,                 1.0324,                 0.6017,                0.54353,                0.58623,                0.41552,                0.55805,                0.49173,                0.52532,                0.23252,                 1.1388,                 1.3541,                 1.0697,                 1.0682,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.1085,                 1.3083,                0.99744,                 1.0411,                0.60782,                0.55864,                0.59516,                 0.4289,                0.53683,                0.48898,                0.50632,                 0.2202,                 1.1045,                 1.3329,                 1.0254,                 1.0566,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.1166,                 1.3106,                 1.0158,                 1.0408,                 0.5708,                0.51863,                0.55428,                0.40741,                0.54044,                0.46531,                0.49711,                0.22856,                 1.1197,                 1.3957,                 1.1285,                 1.0645,              0.0016502,              0.0016502,              0.0016502
                     56,                  1.097,                 1.2863,                 1.0318,                 1.0347,                0.58348,                0.54942,                0.56904,                0.40859,                0.53429,                 0.4865,                0.50321,                0.21582,                 1.1226,                 1.3406,                 1.0542,                 1.0674,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.0493,                   1.27,                0.97466,                 1.0178,                0.58286,                0.55911,                0.57993,                0.42302,                0.51714,                0.47111,                0.48398,                0.20655,                 1.0963,                 1.3329,                 1.0421,                 1.0511,               0.001637,               0.001637,               0.001637
                     58,                 1.0384,                 1.2429,                0.96225,                 1.0212,                0.55687,                0.53592,                0.54949,                0.39985,                0.49609,                 0.4675,                0.46936,                0.20004,                 1.1159,                 1.3835,                    1.1,                 1.0562,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.0376,                 1.2412,                0.93782,                 1.0109,                0.58296,                0.54881,                0.57446,                0.40225,                0.54501,                0.48803,                0.51182,                0.22885,                 1.1402,                 1.3462,                 1.0496,                 1.0649,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.0885,                 1.3026,                0.98736,                 1.0325,                0.57606,                0.54952,                0.57278,                0.41788,                0.53306,                0.49518,                0.51549,                0.23308,                 1.0816,                 1.3124,                  1.048,                 1.0542,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.0526,                  1.273,                  1.009,                 1.0163,                0.60831,                0.55588,                0.59725,                0.43865,                0.55631,                0.49933,                0.52434,                0.23216,                 1.0582,                 1.2857,                 1.0213,                  1.045,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.0597,                 1.2686,                0.98295,                 1.0244,                0.57131,                0.53364,                0.55371,                0.39707,                0.53547,                0.47947,                0.49832,                 0.2194,                 1.1431,                 1.3901,                 1.0642,                 1.0806,               0.001604,               0.001604,               0.001604
                     63,                 1.0493,                 1.2656,                0.96226,                  1.018,                0.58357,                0.54856,                 0.5793,                0.42327,                0.53958,                0.49439,                0.51773,                0.23227,                 1.0973,                 1.3046,                 1.0666,                 1.0654,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.0634,                 1.2672,                0.99058,                 1.0213,                0.59179,                0.56557,                0.59019,                0.42934,                0.54687,                0.48318,                0.50865,                0.22177,                 1.0772,                 1.3152,                  1.018,                 1.0484,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.0669,                 1.2764,                0.98072,                 1.0173,                0.59127,                0.53203,                0.55915,                0.39568,                0.54593,                0.48555,                0.49991,                0.22134,                 1.1292,                 1.3511,                  1.061,                 1.0777,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.0867,                 1.2605,                 1.7262,                 1.0429,                0.59077,                0.56092,                0.57785,                0.41118,                0.53393,                0.48995,                0.50243,                0.21438,                 1.1429,                 1.3374,                 1.0653,                 1.0761,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.0584,                 1.2178,                0.94924,                  1.018,                0.56572,                0.53811,                0.55202,                0.40531,                0.50811,                0.47187,                0.47976,                0.21295,                 1.1233,                 1.3626,                 1.1185,                 1.0638,               0.001571,               0.001571,               0.001571
                     68,                 1.0437,                 1.2274,                0.96084,                 1.0197,                0.62354,                0.56957,                0.61036,                0.44336,                0.57262,                0.50228,                0.53479,                0.23376,                 1.0799,                 1.3408,                0.97757,                   1.05,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.0285,                 1.2455,                0.96864,                 1.0141,                0.55688,                0.52994,                0.54176,                0.39762,                0.49718,                0.45134,                0.46005,                0.20277,                 1.1203,                 1.4007,                 1.1478,                 1.0697,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.0644,                 1.2685,                 0.9744,                 1.0179,                0.58712,                0.53248,                0.57044,                0.41236,                0.53899,                0.47979,                0.50554,                0.21796,                 1.1206,                 1.3555,                 1.0802,                   1.07,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.0837,                 1.2601,                0.99787,                 1.0259,                0.60358,                0.56605,                0.59348,                0.43057,                0.56384,                0.51257,                0.53672,                0.24814,                 1.0967,                 1.3094,                0.99978,                 1.0602,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.0412,                 1.2448,                0.96225,                 1.0037,                0.62109,                0.56396,                0.60996,                0.44422,                0.56888,                0.50418,                0.53768,                0.23852,                 1.0772,                 1.2877,                0.99248,                 1.0393,               0.001538,               0.001538,               0.001538
                     73,                 1.0845,                 1.2523,                 1.0087,                 1.0131,                0.58071,                0.53203,                 0.5499,                0.39304,                0.54508,                0.48534,                0.49867,                0.22407,                 1.1268,                 1.3376,                 1.0801,                 1.0892,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.0514,                 1.2566,                0.96753,                 1.0212,                0.59641,                0.55161,                 0.5814,                0.42677,                0.54895,                0.49287,                0.51774,                0.22949,                 1.0702,                 1.3096,                 1.0242,                 1.0538,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.0243,                 1.2323,                0.90871,                 1.0034,                0.59915,                0.54001,                0.57613,                0.42343,                0.56012,                0.48261,                0.51492,                0.23723,                 1.1075,                 1.3379,                 1.0896,                 1.0681,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.0406,                 1.1986,                0.98665,                  1.019,                0.61046,                0.54638,                0.58556,                0.41525,                0.56637,                0.49439,                0.52157,                  0.232,                 1.1244,                 1.3275,                  1.031,                  1.072,              0.0015116,              0.0015116,              0.0015116
                     77,                0.99655,                  1.194,                0.93747,                 0.9974,                0.57336,                0.55674,                0.56988,                0.41963,                0.54491,                0.48147,                0.50677,                 0.2368,                 1.1035,                 1.3016,                 1.1277,                 1.0659,               0.001505,               0.001505,               0.001505
                     78,                 1.0456,                 1.2367,                0.95794,                 1.0131,                 0.5841,                0.56159,                 0.5849,                0.42375,                0.53067,                0.48261,                0.50103,                0.21281,                 1.1137,                 1.3962,                 1.0515,                 1.0605,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.0292,                 1.2165,                0.91578,                 1.0018,                0.54357,                0.51747,                 0.5186,                0.36863,                0.46819,                0.41418,                 0.4181,                0.17216,                 1.1766,                 1.5343,                 1.1863,                 1.0905,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.0438,                 1.2533,                 1.1796,                 1.0025,                0.58477,                0.54039,                0.56754,                0.40656,                0.50911,                0.44967,                0.46709,                0.19517,                 1.1351,                 1.4432,                 1.0944,                 1.0627,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.0151,                 1.1896,                 1.0001,                0.99713,                0.55684,                0.56342,                0.56485,                0.40701,                0.49978,                0.49582,                0.48665,                0.20496,                 1.1207,                  1.311,                 1.1187,                 1.0664,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.0408,                 1.1943,                0.93618,                 1.0101,                0.59513,                 0.5633,                0.58232,                0.41305,                0.54798,                0.51055,                0.52445,                0.24749,                 1.1371,                 1.3196,                 1.0651,                 1.0717,               0.001472,               0.001472,               0.001472
